topic_cluster,topic_count,name,representation,representative_docs,is_user_painpoint,is_product_feedback,is_user_request,is_noise,topic_name
2,74,2_arc_part_hy_realized,"['arc' 'part' 'hy' 'realized' 'faulty' 'roundtrip' 'reimbursements'
 'partnerships' 'shake' 'aave']","['hello aave protocol and aave token are decentralized you can direct proposals to protocol governance or for example to aave protocol contributors such as aci aave grants dao etc directly connecting with them via twitter or governance forum or their available site if they have one more info at'
 'the issue with withdrawing your ampl from aave v is known and related to a faulty api from ampl that caused interest rates to be calculated incorrectly partial reimbursements have been facilitated via merkle and the ampl team is working on providing a solution'
 'hello aave community i have a question regarding the upcoming mica regulations in europe specifically concerning usdt i currently have an outstanding usdt debt on aave and i m concerned about the potential impact of usdt being banned in europe from december could someone please provide information on how will aave handle existing usdt debts for european users after this date']",True,True,True,False,Aave Protocol Issues
35,6,35_lending_reward_berastone_you,"['lending' 'reward' 'berastone' 'you' 'berawaves' 'your' 'amount' 'pledge'
 'eusd' 'weth']","['if you provide berastone as collateral you will get your berawaves even if you didnt borrow anything'
 'hey i had confirmation that berastone used as collateral on morpho earns x bera wave points during boost period without need to borrow against actually the same than just holding berastone'
 'earn x bera wave points during the time limited boost based on the amount of berastone used as collateral in morp does it mean that i pledge us dollars and only need to borrow us dollar to get x ho to borrow weth and other assets']",False,True,False,False,Berastone Lending Rewards
0,2273,0_chain_morpho_come_rate,['chain' 'morpho' 'come' 'rate' 'my' 'wallet' 'ui' 'tokens' 'usd' 'hi'],"['basically the liquidity allocated by a vault in x markets can be reallocated between said markets if the vault curators enabled the contract as of the vault then the liquidity can be reallocated for borrowers purpose within a few constraints the curators set flow caps to determine how much can come in out from a market the morpho interface has an algorithm that keep in check the pa purpose of this is if pa takes liquidity from market a to put it in market b because someone wants to borrow more than available in market b algorithm will make sure that it doesn t take too much liquidity of the market a because if it takes too much utilization rate of market a will increase as well as borrow rate tl dr curators enable pa and give it parameters goal of the pa is to allow on time liquidity for borrowers but without disturbing the market from which the liquidity is taken from'
 'all assets used on morpho collateral assets and loan assets when not borrowed are held in the morpho singleton smart contract this contract is very simple the protocol consists of only lines of solidity code is immutable morpho is not upgradable the protocol will run and behave the same way forever and has been multiple time audited and formally verified morpho is known for its industry leading security practices and follows a multi faceted approach to security see more on morpho security framework here in the unlikely case where the smart contract would be compromised only solution for users would be to retrieve their asset from the protocol i am not sure how a cold wallet managed by what who would be more reliable than an immutable and multiple time audited smart contract morpho protocol goes back to crypto ethos where there is literally no trusted third party because it s all immutable and permissionless but yes you have to trust the technology and safety of the smart contract this is why morpho has industry leading practices happy to develop if needed'
 'i m worried bc b of supply is not in proportion to on chain liquidity context the susde oracle is powered by a capo adapter usde chainlink feed liquidation is at fee is most loans backed by the bb susde are highly leveraged after a few big usde redeems the ethena minting redeem contract holds no more usdt and doesn t get replenished for minutes during which a whale dumps fat fingers m usde with only of slippage as most liquidity is in stablecoin pools but the price drops to usdc usd or such amount is sold in short time for whatever other reason some bots instantly buy usde and wait for replenishment of the redeem contract but the price is still well below the chainlink oracle updates causing liquidation on levered susde positions say m susde let s say there is m of sub slippage on chain susde usde liquidity so that s m worth of susde usde usdc flash loan liquidations outside of this slippage range of usde susde there is no flashloan liquidation possible maybe a few m of liquidations can be done by non flashloans eg the bot gets the susde and without selling pays back the usdc from his balance so no effect on price all on chain stablecoin liquidity bots and pools that could restore price gets used up by the cascade now the usde price and thus oracle price is toast what now with m that can be liquidated at a big discount']",True,True,True,False,Morpho Protocol Analysis
1,108,1_marketliquidity_liquidations_liquidate_accumulate,"['marketliquidity' 'liquidations' 'liquidate' 'accumulate'
 'marketallocation' 'liquidated' 'liquidators' 'liquidator' 'falls'
 'vularibility']","['thanks it says how liquidations work liquidations on morpho are quite simple liquidators can liquidate up to of the account s debt and receive the corresponding collateral value plus the relative incentive no fee is taken by the morpho protocol at this level the entire liquidation incentive factor lif goes to the liquidator'
 'when liquidation occurs liquidators pay off up to of the outstanding loan amount on behalf of the borrower in exchange they can buy the collateral at a discount and keep the difference liquidation penalty as a bonus based on this definition we can assume the following sequence of events the value of the collateral body decreases below the threshold the liquidator pays off half of the collateral for me my collateral is reduced by half the liquidator buys out the remaining half of my collateral at a discount i completely lose my collateral the liquidator receives a bonus where am i wrong'
 'how to calculate liquidation price on aave the liquidation price is the price of the collateral asset at which a borrower s health factor falls below making their position eligible for liquidation key concepts health factor hf collateral value total value of your collateral in usd ltv loan to value maximum loan to value ratio for the collateral asset e g means you can borrow up to of the collateral s value debt value total value of your borrowed assets in usd liquidation threshold lt each collateral asset has a liquidation threshold which is lower than or equal to the ltv if the position becomes liquidatable liquidation price the price at which the value of the collateral multiplied by the liquidation threshold equals the borrowed amount for a single collateral single debt scenario steps to calculate liquidation price identify the variables collateral amount amount of collateral supplied e g eth borrowed amount total debt in usd liquidation threshold lt percentage specific to the collateral asset e g for eth use the formula example collateral eth borrowed debt liquidation threshold lt if the price of eth falls to the health factor will drop below and the position will become liquidatable']",False,False,False,False,Crypto Liquidation
19,10,19_btc_stablecoins_wbtc_cbbtc,"['btc' 'stablecoins' 'wbtc' 'cbbtc' 'awbtc' 'lbtc' 'deposit' 'my'
 'happening' 'borrowing']","['het can someone explain to me why on the market wbtc cbbtc and on fluid dashboard it shows wbtc cbbtc'
 'there is only one lbtc cbbtc market on base the lbtc cbbtc lltv b a a a c e a d network base this market has an oracle that uses a redstone fundamental feed for lbtc btc looks hardcoded hardcodes btc cbbtc'
 'yo wtf is happening with the cbbtc wbtc pool i lost over of my btc in the last weeks is there some impermanent loss that is not disclosed thats fucke dup for a stable pair']",True,False,False,False,Cryptocurrency Issues
34,6,34_stablecoin_stablecoins_coins_btc,"['stablecoin' 'stablecoins' 'coins' 'btc' 'ebtc' 'rates' 'borrowing'
 'significantly' 'wallet' 'would']","['does anyone know anywhere where i can borrow stablecoins against ebtc etherfi wrapped btc'
 'stablecoin utilization spiked how can i determine if this was caused by more people borrowing or more people withdrawing their stablecoins'
 'it is normal for borrowing rates for stablecoins to be high and fluctuate significantly this is due to high demand and insufficient supplied liquidity which increases interest rates to incentivize more suppliers and fewer borrowers']",True,False,True,False,Stablecoin Borrowing
3,73,3_chainlink_deposit_usr_volume,"['chainlink' 'deposit' 'usr' 'volume' 'borrowing' 'im' 'ill' 'ish'
 'ledger' 'reconnect']","['hello i have a question regarding usd usdc market ce faa b a e ece fa a network mainnet it mentions that collateral in this market is not re hypothecated and thus does not yield it means that du usd won t give me any yield'
 'hello i have tried to make a deposit in usdc on the eth network with ledger and it did not go through although they did charge me network fees can someone explain to me the reason and whether or not it can be done with the ledger wallet thank you'
 'regarding the performance of the usdc eth pool the usdc eth pool has been performing well recently gaining increasing market share in terms of volume compared to other dexs however its price range is quite wide at how does this pool manage to maintain competitive pricing that attracts such significant volume despite the wide price range']",True,True,True,False,Deposit Issues
31,7,31_staking_boosted_turbo_vaults,"['staking' 'boosted' 'turbo' 'vaults' 'vault' 'incentives' 'choose'
 'cmiiw' 'so' 'now']","['what if we propose sushi to diversify into inst'
 'kindly request manager to turn off infinite turbo sell twap'
 'omg incentives for moonwell vaults will be reduced so much time to choose another options']",True,True,True,False,Staking Rewards Changes
15,11,15_governance_announcements_gov_test,"['governance' 'announcements' 'gov' 'test' 'values' 'best' 'defi'
 'timelines' 'wrong' 'simulation']","['feel free to ask any questions or chat with others and yeah staying cautious about scams is definitely the way to go'
 'as tqt mentioned the best way to test could be using simulation mode you can try some values and run some calculations let us know if you still have any doubts'
 'hey so the governance forum on discord is a vulnerable place for spams most of the governance related announcements will happen on governance announcements and the discussion can be either on official forum gov instadapp io or here on defi talk or on general chat']",False,True,False,False,Governance Announcements
24,9,24_amount_lbtc_rates_collat,"['amount' 'lbtc' 'rates' 'collat' 'lltv' 'loan' 'liquidation' 'borrowing'
 'principal' 'warning']","['since ltv is related to a position you need to input some info in order to get that if you want to know your ltv before actually opening your position you have to start a go to a market click on input collateral and borrow amount and it will show you the projected ltv'
 'the maximum ltv ratio represents the maximum borrowing power of a specific collateral for example if a collateral has an ltv of the user can borrow up to worth of eth in the principal currency for every eth worth of collateral i guess this applies to borrowers and on my funds are earning interests'
 'hey i got a question regarding ltv calculation i m depositing k worth of pt lbtc to borrow cbbtc on base the max borrowed amount i can get is front end show a warning that my borrowed position is near the max ltv of and liquidation ltv which is but as the number show my ltv should be just still a far bit away from the max ltv and quite less than the liquidation ltv is this ltv calculation right']",True,True,False,False,Loan Liquidation Risk
